r [um],n,q,q2
0.000000, 1.498024, 1.000000, 2.250342
0.100000, 1.498019, 0.999600, 2.250327
0.200000, 1.498004, 0.998400, 2.250282
0.300000, 1.497979, 0.996400, 2.250207
0.400000, 1.497945, 0.993600, 2.250102
0.500000, 1.497900, 0.990000, 2.249966
0.600000, 1.497845, 0.985600, 2.249801
0.700000, 1.497781, 0.980400, 2.249606
0.800000, 1.497706, 0.974400, 2.249381
0.900000, 1.497622, 0.967600, 2.249126
1.000000, 1.497528, 0.960000, 2.248841
1.100000, 1.497424, 0.951600, 2.248525
1.200000, 1.497310, 0.942400, 2.248180
1.300000, 1.497186, 0.932400, 2.247805
1.400000, 1.497052, 0.921600, 2.247399
1.500000, 1.496908, 0.910000, 2.246964
1.600000, 1.496754, 0.897600, 2.246499
1.700000, 1.496590, 0.884400, 2.246003
1.800000, 1.496416, 0.870400, 2.245478
1.900000, 1.496233, 0.855600, 2.244922
2.000000, 1.496039, 0.840000, 2.244337
2.100000, 1.495835, 0.823600, 2.243721
2.200000, 1.495622, 0.806400, 2.243076
2.300000, 1.495398, 0.788400, 2.242400
2.400000, 1.495165, 0.769600, 2.241695
2.500000, 1.494921, 0.750000, 2.240959
2.600000, 1.494668, 0.729600, 2.240194
2.700000, 1.494404, 0.708400, 2.239398
2.800000, 1.494131, 0.686400, 2.238572
2.900000, 1.493847, 0.663600, 2.237717
3.000000, 1.493554, 0.640000, 2.236831
3.100000, 1.493251, 0.615600, 2.235915
3.200000, 1.492937, 0.590400, 2.234969
3.300000, 1.492614, 0.564400, 2.233994
3.400000, 1.492280, 0.537600, 2.232988
3.500000, 1.491937, 0.510000, 2.231952
3.600000, 1.491583, 0.481600, 2.230886
3.700000, 1.491219, 0.452400, 2.229790
3.800000, 1.490846, 0.422400, 2.228664
3.900000, 1.490462, 0.391600, 2.227508
4.000000, 1.490068, 0.360000, 2.226323
4.100000, 1.489664, 0.327600, 2.225107
4.200000, 1.489250, 0.294400, 2.223861
4.300000, 1.488826, 0.260400, 2.222585
4.400000, 1.488392, 0.225600, 2.221279
4.500000, 1.487948, 0.190000, 2.219943
4.600000, 1.487493, 0.153600, 2.218576
4.700000, 1.487029, 0.116400, 2.217180
4.800000, 1.486554, 0.078400, 2.215754
4.900000, 1.486069, 0.039600, 2.214298
5.000000, 1.485574, 0.000000, 2.212812
0.000000, 1.498025, 1.000000, 2.250353
0.100000, 1.498020, 0.999600, 2.250338
0.200000, 1.498005, 0.998400, 2.250293
0.300000, 1.497980, 0.996400, 2.250218
0.400000, 1.497945, 0.993600, 2.250113
0.500000, 1.497901, 0.990000, 2.249978
0.600000, 1.497846, 0.985600, 2.249813
0.700000, 1.497782, 0.980400, 2.249618
0.800000, 1.497707, 0.974400, 2.249392
0.900000, 1.497623, 0.967600, 2.249137
1.000000, 1.497529, 0.960000, 2.248852
1.100000, 1.497425, 0.951600, 2.248537
1.200000, 1.497310, 0.942400, 2.248191
1.300000, 1.497186, 0.932400, 2.247816
1.400000, 1.497052, 0.921600, 2.247411
1.500000, 1.496908, 0.910000, 2.246975
1.600000, 1.496755, 0.897600, 2.246510
1.700000, 1.496591, 0.884400, 2.246015
1.800000, 1.496417, 0.870400, 2.245489
1.900000, 1.496233, 0.855600, 2.244934
2.000000, 1.496040, 0.840000, 2.244348
2.100000, 1.495836, 0.823600, 2.243733
2.200000, 1.495623, 0.806400, 2.243087
2.300000, 1.495399, 0.788400, 2.242411
2.400000, 1.495166, 0.769600, 2.241706
2.500000, 1.494922, 0.750000, 2.240970
2.600000, 1.494669, 0.729600, 2.240204
2.700000, 1.494405, 0.708400, 2.239409
2.800000, 1.494132, 0.686400, 2.238583
2.900000, 1.493848, 0.663600, 2.237727
3.000000, 1.493555, 0.640000, 2.236842
3.100000, 1.493251, 0.615600, 2.235926
3.200000, 1.492938, 0.590400, 2.234980
3.300000, 1.492614, 0.564400, 2.234004
3.400000, 1.492281, 0.537600, 2.232998
3.500000, 1.491937, 0.510000, 2.231962
3.600000, 1.491584, 0.481600, 2.230897
3.700000, 1.491220, 0.452400, 2.229801
3.800000, 1.490847, 0.422400, 2.228675
3.900000, 1.490463, 0.391600, 2.227519
4.000000, 1.490069, 0.360000, 2.226333
4.100000, 1.489665, 0.327600, 2.225117
4.200000, 1.489251, 0.294400, 2.223871
4.300000, 1.488827, 0.260400, 2.222595
4.400000, 1.488393, 0.225600, 2.221289
4.500000, 1.487949, 0.190000, 2.219952
4.600000, 1.487494, 0.153600, 2.218586
4.700000, 1.487030, 0.116400, 2.217190
4.800000, 1.486555, 0.078400, 2.215764
4.900000, 1.486070, 0.039600, 2.214308
5.000000, 1.485575, -0.000000, 2.212822
0.000000, 1.498026, 1.000000, 2.250365
0.100000, 1.498021, 0.999600, 2.250350
0.200000, 1.498006, 0.998400, 2.250305
0.300000, 1.497981, 0.996400, 2.250230
0.400000, 1.497946, 0.993600, 2.250125
0.500000, 1.497902, 0.990000, 2.249989
0.600000, 1.497847, 0.985600, 2.249824
0.700000, 1.497783, 0.980400, 2.249629
0.800000, 1.497708, 0.974400, 2.249404
0.900000, 1.497624, 0.967600, 2.249149
1.000000, 1.497530, 0.960000, 2.248863
1.100000, 1.497425, 0.951600, 2.248548
1.200000, 1.497311, 0.942400, 2.248203
1.300000, 1.497187, 0.932400, 2.247827
1.400000, 1.497053, 0.921600, 2.247422
1.500000, 1.496909, 0.910000, 2.246987
1.600000, 1.496755, 0.897600, 2.246521
1.700000, 1.496592, 0.884400, 2.246026
1.800000, 1.496418, 0.870400, 2.245500
1.900000, 1.496234, 0.855600, 2.244945
2.000000, 1.496041, 0.840000, 2.244359
2.100000, 1.495837, 0.823600, 2.243744
2.200000, 1.495623, 0.806400, 2.243098
2.300000, 1.495400, 0.788400, 2.242422
2.400000, 1.495166, 0.769600, 2.241717
2.500000, 1.494923, 0.750000, 2.240981
2.600000, 1.494669, 0.729600, 2.240215
2.700000, 1.494406, 0.708400, 2.239420
2.800000, 1.494133, 0.686400, 2.238594
2.900000, 1.493849, 0.663600, 2.237738
3.000000, 1.493556, 0.640000, 2.236852
3.100000, 1.493252, 0.615600, 2.235937
3.200000, 1.492939, 0.590400, 2.234991
3.300000, 1.492615, 0.564400, 2.234015
3.400000, 1.492282, 0.537600, 2.233009
3.500000, 1.491938, 0.510000, 2.231973
3.600000, 1.491585, 0.481600, 2.230907
3.700000, 1.491221, 0.452400, 2.229811
3.800000, 1.490847, 0.422400, 2.228685
3.900000, 1.490464, 0.391600, 2.227529
4.000000, 1.490070, 0.360000, 2.226343
4.100000, 1.489666, 0.327600, 2.225127
4.200000, 1.489252, 0.294400, 2.223881
4.300000, 1.488828, 0.260400, 2.222605
4.400000, 1.488394, 0.225600, 2.221299
4.500000, 1.487949, 0.190000, 2.219962
4.600000, 1.487495, 0.153600, 2.218596
4.700000, 1.487030, 0.116400, 2.217200
4.800000, 1.486556, 0.078400, 2.215774
4.900000, 1.486071, 0.039600, 2.214317
5.000000, 1.485576, 0.000000, 2.212831
0.000000, 1.498026, 1.000000, 2.250376
0.100000, 1.498021, 0.999600, 2.250361
0.200000, 1.498007, 0.998400, 2.250316
0.300000, 1.497982, 0.996400, 2.250241
0.400000, 1.497947, 0.993600, 2.250136
0.500000, 1.497902, 0.990000, 2.250001
0.600000, 1.497848, 0.985600, 2.249836
0.700000, 1.497783, 0.980400, 2.249641
0.800000, 1.497709, 0.974400, 2.249415
0.900000, 1.497625, 0.967600, 2.249160
1.000000, 1.497530, 0.960000, 2.248875
1.100000, 1.497426, 0.951600, 2.248559
1.200000, 1.497312, 0.942400, 2.248214
1.300000, 1.497188, 0.932400, 2.247839
1.400000, 1.497054, 0.921600, 2.247433
1.500000, 1.496910, 0.910000, 2.246998
1.600000, 1.496756, 0.897600, 2.246533
1.700000, 1.496593, 0.884400, 2.246037
1.800000, 1.496419, 0.870400, 2.245512
1.900000, 1.496235, 0.855600, 2.244956
2.000000, 1.496041, 0.840000, 2.244370
2.100000, 1.495838, 0.823600, 2.243755
2.200000, 1.495624, 0.806400, 2.243109
2.300000, 1.495401, 0.788400, 2.242434
2.400000, 1.495167, 0.769600, 2.241728
2.500000, 1.494924, 0.750000, 2.240992
2.600000, 1.494670, 0.729600, 2.240226
2.700000, 1.494407, 0.708400, 2.239431
2.800000, 1.494133, 0.686400, 2.238605
2.900000, 1.493850, 0.663600, 2.237749
3.000000, 1.493556, 0.640000, 2.236863
3.100000, 1.493253, 0.615600, 2.235947
3.200000, 1.492940, 0.590400, 2.235001
3.300000, 1.492616, 0.564400, 2.234025
3.400000, 1.492283, 0.537600, 2.233020
3.500000, 1.491939, 0.510000, 2.231984
3.600000, 1.491585, 0.481600, 2.230918
3.700000, 1.491222, 0.452400, 2.229822
3.800000, 1.490848, 0.422400, 2.228695
3.900000, 1.490464, 0.391600, 2.227539
4.000000, 1.490071, 0.360000, 2.226353
4.100000, 1.489667, 0.327600, 2.225137
4.200000, 1.489253, 0.294400, 2.223891
4.300000, 1.488829, 0.260400, 2.222615
4.400000, 1.488394, 0.225600, 2.221309
4.500000, 1.487950, 0.190000, 2.219972
