r [É m], n, q, qg
0.000000, 3.520000, 1.000000, 12.734263
0.020000, 3.520000, 1.000000, 12.734263
0.040000, 3.520000, 1.000000, 12.734263
0.060000, 3.520000, 1.000000, 12.734263
0.080000, 3.520000, 1.000000, 12.734263
0.100000, 3.520000, 1.000000, 12.734263
0.120000, 3.520000, 1.000000, 12.734263
0.140000, 3.520000, 1.000000, 12.734263
0.160000, 3.520000, 1.000000, 12.734263
0.180000, 3.520000, 1.000000, 12.734263
0.200000, 3.520000, 1.000000, 12.734263
0.220000, 3.520000, 1.000000, 12.734263
0.240000, 3.520000, 1.000000, 12.734263
0.260000, 3.520000, 1.000000, 12.734263
0.280000, 3.520000, 1.000000, 12.734263
0.300000, 3.520000, 1.000000, 12.734263
0.320000, 3.520000, 1.000000, 12.734263
0.340000, 3.520000, 1.000000, 12.734263
0.360000, 3.520000, 1.000000, 12.734263
0.380000, 3.520000, 1.000000, 12.734263
0.400000, 3.520000, 1.000000, 12.734263
0.420000, 3.520000, 1.000000, 12.734263
0.440000, 3.520000, 1.000000, 12.734263
0.460000, 3.520000, 1.000000, 12.734263
0.480000, 3.520000, 1.000000, 12.734263
0.500000, 3.520000, 1.000000, 12.734263
0.520000, 3.520000, 1.000000, 12.734263
0.540000, 3.520000, 1.000000, 12.734263
0.560000, 3.520000, 1.000000, 12.734263
0.580000, 3.520000, 1.000000, 12.734263
0.600000, 3.520000, 1.000000, 12.734263
0.620000, 3.520000, 1.000000, 12.734263
0.640000, 3.520000, 1.000000, 12.734263
0.660000, 3.520000, 1.000000, 12.734263
0.680000, 3.520000, 1.000000, 12.734263
0.700000, 3.520000, 1.000000, 12.734263
0.720000, 3.520000, 1.000000, 12.734263
0.740000, 3.520000, 1.000000, 12.734263
0.760000, 3.520000, 1.000000, 12.734263
0.780000, 3.520000, 1.000000, 12.734263
0.800000, 3.520000, 1.000000, 12.734263
0.820000, 3.520000, 1.000000, 12.734263
0.840000, 3.520000, 1.000000, 12.734263
0.860000, 3.520000, 1.000000, 12.734263
0.880000, 3.520000, 1.000000, 12.734263
0.900000, 3.520000, 1.000000, 12.734263
0.920000, 3.520000, 1.000000, 12.734263
0.940000, 3.520000, 1.000000, 12.734263
0.960000, 3.520000, 1.000000, 12.734263
0.980000, 3.520000, 1.000000, 12.734263
1.000000, 3.520000, 1.000000, 12.734263
1.020000, 3.520000, 1.000000, 12.734263
1.040000, 3.520000, 1.000000, 12.734263
1.060000, 3.520000, 1.000000, 12.734263
1.080000, 3.520000, 1.000000, 12.734263
1.100000, 3.520000, 1.000000, 12.734263
1.120000, 3.520000, 1.000000, 12.734263
1.140000, 3.520000, 1.000000, 12.734263
1.160000, 3.520000, 1.000000, 12.734263
1.180000, 3.520000, 1.000000, 12.734263
1.200000, 3.520000, 1.000000, 12.734263
1.220000, 3.520000, 1.000000, 12.734263
1.240000, 3.520000, 1.000000, 12.734263
1.260000, 3.520000, 1.000000, 12.734263
1.280000, 3.520000, 1.000000, 12.734263
1.300000, 3.520000, 1.000000, 12.734263
1.320000, 3.520000, 1.000000, 12.734263
1.340000, 3.520000, 1.000000, 12.734263
1.360000, 3.520000, 1.000000, 12.734263
1.380000, 3.520000, 1.000000, 12.734263
1.400000, 3.520000, 1.000000, 12.734263
1.420000, 3.520000, 1.000000, 12.734263
1.440000, 3.520000, 1.000000, 12.734263
1.460000, 3.520000, 1.000000, 12.734263
1.480000, 3.520000, 1.000000, 12.734263
1.500000, 3.520000, 1.000000, 12.734263
1.520000, 3.520000, 1.000000, 12.734263
1.540000, 3.520000, 1.000000, 12.734263
1.560000, 3.520000, 1.000000, 12.734263
1.580000, 3.520000, 1.000000, 12.734263
1.600000, 3.520000, 1.000000, 12.734263
1.620000, 3.520000, 1.000000, 12.734263
1.640000, 3.520000, 1.000000, 12.734263
1.660000, 3.520000, 1.000000, 12.734263
1.680000, 3.520000, 1.000000, 12.734263
1.700000, 3.520000, 1.000000, 12.734263
1.720000, 3.520000, 1.000000, 12.734263
1.740000, 3.520000, 1.000000, 12.734263
1.760000, 3.520000, 1.000000, 12.734263
1.780000, 3.520000, 1.000000, 12.734263
1.800000, 3.520000, 1.000000, 12.734263
1.820000, 3.520000, 1.000000, 12.734263
1.840000, 3.520000, 1.000000, 12.734263
1.860000, 3.520000, 1.000000, 12.734263
1.880000, 3.520000, 1.000000, 12.734263
1.900000, 3.520000, 1.000000, 12.734263
1.920000, 3.520000, 1.000000, 12.734263
1.940000, 3.520000, 1.000000, 12.734263
1.960000, 3.520000, 1.000000, 12.734263
1.980000, 3.520000, 1.000000, 12.734263
2.000000, 3.520000, 1.000000, 12.734263
2.020000, 3.520000, 1.000000, 12.734263
2.040000, 3.520000, 1.000000, 12.734263
2.060000, 3.520000, 1.000000, 12.734263
2.080000, 3.520000, 1.000000, 12.734263
2.100000, 3.520000, 1.000000, 12.734263
2.120000, 3.520000, 1.000000, 12.734263
2.140000, 3.520000, 1.000000, 12.734263
2.160000, 3.520000, 1.000000, 12.734263
2.180000, 3.520000, 1.000000, 12.734263
2.200000, 3.520000, 1.000000, 12.734263
2.220000, 3.520000, 1.000000, 12.734263
2.240000, 3.520000, 1.000000, 12.734263
2.260000, 3.520000, 1.000000, 12.734263
2.280000, 3.520000, 1.000000, 12.734263
2.300000, 3.520000, 1.000000, 12.734263
2.320000, 3.520000, 1.000000, 12.734263
2.340000, 3.520000, 1.000000, 12.734263
2.360000, 3.520000, 1.000000, 12.734263
2.380000, 3.520000, 1.000000, 12.734263
2.400000, 3.520000, 1.000000, 12.734263
2.420000, 3.520000, 1.000000, 12.734263
2.440000, 3.520000, 1.000000, 12.734263
2.460000, 3.520000, 1.000000, 12.734263
2.480000, 3.520000, 1.000000, 12.734263
2.500000, 3.520000, 1.000000, 12.734263
2.520000, 3.520000, 1.000000, 12.734263
2.540000, 3.520000, 1.000000, 12.734263
2.560000, 3.520000, 1.000000, 12.734263
2.580000, 3.520000, 1.000000, 12.734263
2.600000, 3.520000, 1.000000, 12.734263
2.620000, 3.520000, 1.000000, 12.734263
2.640000, 3.520000, 1.000000, 12.734263
2.660000, 3.520000, 1.000000, 12.734263
2.680000, 3.520000, 1.000000, 12.734263
2.700000, 3.520000, 1.000000, 12.734263
2.720000, 3.520000, 1.000000, 12.734263
2.740000, 3.520000, 1.000000, 12.734263
2.760000, 3.520000, 1.000000, 12.734263
2.780000, 3.520000, 1.000000, 12.734263
2.800000, 3.520000, 1.000000, 12.734263
2.820000, 3.520000, 1.000000, 12.734263
2.840000, 3.520000, 1.000000, 12.734263
2.860000, 3.520000, 1.000000, 12.734263
2.880000, 3.520000, 1.000000, 12.734263
2.900000, 3.520000, 1.000000, 12.734263
2.920000, 3.520000, 1.000000, 12.734263
2.940000, 3.520000, 1.000000, 12.734263
2.960000, 3.520000, 1.000000, 12.734263
2.980000, 3.520000, 1.000000, 12.734263
3.000000, 3.520000, 1.000000, 12.734263
3.020000, 3.520000, 1.000000, 12.734263
3.040000, 3.520000, 1.000000, 12.734263
3.060000, 3.520000, 1.000000, 12.734263
3.080000, 3.520000, 1.000000, 12.734263
3.100000, 3.520000, 1.000000, 12.734263
3.120000, 3.520000, 1.000000, 12.734263
3.140000, 3.520000, 1.000000, 12.734263
3.160000, 3.520000, 1.000000, 12.734263
3.180000, 3.520000, 1.000000, 12.734263
3.200000, 3.520000, 1.000000, 12.734263
3.220000, 3.520000, 1.000000, 12.734263
3.240000, 3.520000, 1.000000, 12.734263
3.260000, 3.520000, 1.000000, 12.734263
3.280000, 3.520000, 1.000000, 12.734263
3.300000, 3.520000, 1.000000, 12.734263
3.320000, 3.520000, 1.000000, 12.734263
3.340000, 3.520000, 1.000000, 12.734263
3.360000, 3.520000, 1.000000, 12.734263
3.380000, 3.520000, 1.000000, 12.734263
3.400000, 3.520000, 1.000000, 12.734263
3.420000, 3.520000, 1.000000, 12.734263
3.440000, 3.520000, 1.000000, 12.734263
3.460000, 3.520000, 1.000000, 12.734263
3.480000, 3.520000, 1.000000, 12.734263
3.500000, 3.500000, 0.000000, 12.588990
